STORAGE_BOOKS	Cãrþi
MESSENGER_USE_GUILD_MOVE_SKILL	Foloseºte competenþa de miºcare a breslei
MESSENGER_WHISPER	ªoaptã
MINIGAME_FISH_EVENT_USE_COUNT	Cantitate
MINIMIZE	Minimeazã
MINI_GAME_FISH_HELP_TEXT	Ajutor
MINI_GAME_FISH_START_TEXT	Start
MINI_GAME_FISH_TITLE	Pescuit Jigsaw
MINI_GAME_RUMI_DISCARD_TEXT	Modul Sigur
MINI_GAME_RUMI_EXIT	Sfârºit
MINI_GAME_RUMI_LBUTTON_DESC	Stânga mouse sã adaugi card
MINI_GAME_RUMI_RBUTTON_DESC	Dreapta mouse sã renunþi la card
MINI_GAME_RUMI_SCORE	Scor
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Metin2 Jocul Okey cu Carduri
MOUSEBUTTON_ATTACK	Atacã
MOUSEBUTTON_AUTO_ATTACK	Atacã automat
MOUSEBUTTON_CAMERA	Camerã
MOUSEBUTTON_SKILL	Abilitãþi
MUSICLIST_TITLE	Alege muzica
NEW_EXCHANGE_YOU	Tu
NO	Nu
OK	OK
OPTION_ALWAYS_SHOW_NAME	Nume
OPTION_ALWAYS_SHOW_NAME_OFF	Limitat
OPTION_ALWAYS_SHOW_NAME_ON	Totdeauna
OPTION_BLOCK	Blocheazã
OPTION_BLOCK_EXCHANGE	Negociazã
OPTION_BLOCK_FRIEND	Prieteni
OPTION_BLOCK_GUILD	Alianþã
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Cerere
OPTION_BLOCK_WHISPER	ªoaptã
OPTION_CAMERA_DISTANCE	Camerã
OPTION_CAMERA_DISTANCE_LONG	Departe
OPTION_CAMERA_DISTANCE_SHORT	Aproape
OPTION_COUNTRYFLAG_OFF	Ascunde
OPTION_COUNTRYFLAG_ON	Aratã
OPTION_COUNTRYFLAG_TEXT	Steag
OPTION_DELETE_MOBILE_BUTTON	ªterge numãr mobil
OPTION_EFFECT	Afiºare lovituri
OPTION_FOG	Ceaþã
OPTION_FOG_DENSE	Mult
OPTION_FOG_LIGHT	Puþin
OPTION_FOG_MIDDLE	Mediu
OPTION_HIDE_EFFECTS	Efecte
OPTION_HIDE_EFFECTS_GENERAL	General
OPTION_HIDE_EFFECTS_SKILLS	Abilitãþi
OPTION_HIDE_EFFECTS_BUFFS	Buff
OPTION_MOBILE	Mobil
OPTION_MOB_INFO	Info Mob
OPTION_MOB_INFO_AGGR	Agresiv
OPTION_MOB_INFO_LEVEL	Nivel
OPTION_MUSIC	Muzicã
OPTION_MUSIC_CHANGE	Schimbã
OPTION_MUSIC_DEFAULT_THEMA	Muzicã standard Metin2
OPTION_NAME_COLOR	Nume culoare
OPTION_NAME_COLOR_EMPIRE	Culoare regat
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_NIGHT	Noapte
OPTION_PVPMODE	Mod PvP
OPTION_PVPMODE_FREE	Liber
OPTION_PVPMODE_FREE_TOOLTIP	Poþi ataca toþi jucãtorii.
OPTION_PVPMODE_GUILD	Alianþã
OPTION_PVPMODE_GUILD_TOOLTIP	Poþi ataca toþi jucãtorii cu excepþia membrilor breslei.
OPTION_PVPMODE_PEACE	Pace
OPTION_PVPMODE_PEACE_TOOLTIP	Nu poþi ataca jucãtori din regatul tãu.
OPTION_PVPMODE_REVENGE	Inamic
OPTION_PVPMODE_REVENGE_TOOLTIP	Poþi ataca doar jucãtori cu grad negativ.
OPTION_SALESTEXT	Numele magazinului
OPTION_SALESTEXT_VIEW_OFF	Închide
OPTION_SALESTEXT_VIEW_ON	Deschide
OPTION_SOUND	Efecte
OPTION_TARGET_BOARD	Meniu þintã
OPTION_TARGET_BOARD_NO_VIEW	Închide
OPTION_TARGET_BOARD_VIEW	Afiºeazã
OPTION_TILING	Memorie graficã
OPTION_TILING_APPLY	Aplicã
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opþiuni
OPTION_VIEW_CHAT	Linie de chat
OPTION_VIEW_CHAT_OFF	Închide
OPTION_VIEW_CHAT_ON	Deschide
PARTY_MEMBER_INFO_NAME	Nume membru grupã
PASSWORD_DESC_1	Introdu parola
PASSWORD_DESC_2	pentru a deschide depozitul.
PASSWORD_DESC_3	Ai schimbat parola deja?
PASSWORD_DESC_4	Daca nu, parola ta va fi '000000'.
PASSWORD_DESC_5	Schimbã parola la depozit.
PASSWORD_TITLE	Salvare parolã
PICK_MONEY_TITLE	Împarte
PRIVATE_SHOP_CLOSE_BUTTON	Închide magazin
PRIVATE_SHOP_NAME	Numele magazinului
PRIVATE_SHOP_TITLE	Deschide propriul magazin
REFINE_COST	Costuri de îmbunãtãþire: 0 Yang
REFINE_INFO	ªansã de upgrade: 100%
REFINE_MONEY	Cost rafinare
REFINE_SELECT	Rafinare
REFINE_TTILE	Îmbunãtãþiri
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Restarteazã aici
RESTART_TOWN	Restarteazã în oraº
SAFE_CHANGE_PASSWORD	Schimbã parola
SAFE_TITLE	Depozit
SELECT_ATT_GRADE	STR
SELECT_CREATE	Creeazã
SELECT_DELETE	ªterge
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Numele regatului
SELECT_EXIT	Ieºire
SELECT_HP	VIT
SELECT_LEVEL	Nivel
SELECT_METIN_STONE_TITLE	Selecteazã Piatra Spiritului
SELECT_NAME	Nume
SELECT_NO_GUILD	Nicio breaslã
SELECT_PLAYTIME	Timp de joc
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Alege titlu
SELECT_YES_GUILD	Numele breslei: %s
SHOP_BUY	Cumpãrã
SHOP_CLOSE	Închide magazinul
SHOP_CLOSE_QUEST	Eºti sigur cã vrei sã închizi magazinul "%s"?
SHOP_SELL	Vinde
SHOP_TITLE	Magazin
SKILL_SUPPORT_TITLE	Abilitãþi standard
STEP	Grad de claritate
STEP_SELECT	Grad de claritate
STRENGTH	Întãrire
STRENGTH_SELECT	Nivel
SYSTEMOPTION_TITLE	Opþiuni sistem
SYSTEM_CHANGE	Schimbã caracterul
SYSTEM_EXIT	Ieºire joc
SYSTEM_HELP	Ajutor
SYSTEM_LOGOUT	Logout
SYSTEM_MALL	Magazin obiecte
SYSTEM_OPTION	Opþiuni sistem
TARGET_BUTTON_INVENTORY_VIEW	Inventar
TASKBAR_CHARACTER	Caracter[C/V/B/N]
TASKBAR_CHAT	Fereastrã chat [ENTER ]
TASKBAR_DISABLE	Dezactivat
TASKBAR_DRAGON_SOUL	Alchimie Piatra Dragon
TASKBAR_EXPAND	Extinde fereastra
TASKBAR_INVENTORY	Inventar [I]
TASKBAR_MESSENGER	Prieteni [ALT + M]
TASKBAR_MONEY_EXPAND	Bani
TASKBAR_NEXT_QUICKSLOT	Urmãtorul câmp de acces rapid [Shift+Numãr, Alt]
TASKBAR_PREV_QUICKSLOT	Ultimul câmp de acces rapid [Shift+Numãr]
TASKBAR_SYSTEM	Opþiuni[ESC]
WHISPER_BAN	Blocheazã
WHISPER_NAME	ªopteºte
WHISPER_REPORT	
WHISPER_SEND	Trimite
YES	Da
ZONE_MAP	Hartã mare
SASH_ABSORB	Bonus de absorbþie
SASH_COMBINE	Combinaþie
SASH_MAIN	Eºarfã 1
SASH_RESULT	Rezultat
SASH_SERVE	Eºarfã 2
ACCOUNT_NAME	Nume cont/ID
ACCOUNT_PASSWORD	Parolã
ACCOUNT_SAVED	[Loc Liber]
SAVE_ACCOUNT	Salveazã contul
CH1	Canal 1
CH2	Canal 2
CH3	Canal 3
CH4	Canal 4
CH5	Canal 5
LOGIN	Login
LANGUAGE	Limbã
REMAINING_TIME_OFFSHOP	Timp rãmas: Permanent
OFFSHOP_BUYER	Cumpãrãtor
LOGS_HISTORY	Istoric Vânzãri
HOME_PAGE_OFFSHOP	Magazin privat
OFFSHOP_TOTAL_PRICE	Preþul total al obiectelor: 
OFFSHOP_WITHDRAWALL	Doreºti sã retragi toate obiectele?
OFFSHOP_WITHDRAW_YANG	Cat doreºti sã retragi?
OFFSHOP_AMOUNT	Sumã: 
SEND_ITEMS_BIOLOG	Trimite obiectul
RESET_TIME_BIOLOG	Reseteazã timpul
REWARD_BIOLOG	Recompensã misiune
MISSION_INFO_BIOLOG	Informaþii misiune
STAGE_INFO_BIOLOG	Stagiu misiune
REMAINING_TIME_BIOLOG	Timp rãmas: %s
CAN_DELIVER_BIOLOG	Poþi trimite un nou obiect!
CHRISTMAS_WHEEL	Roata Norocului
MAP_NOT_REQUIRED_ITEM	Harta nu necesitã un obiect!
THIS_MAP_HAS_BOSS	Aceastã hartã are ºeful:|cff00ff00 %s!
MAP_BEGGINING	Început
SPIDERZONE	Temniþa pãienjenilor
MINING_MAP	Tãrâmul Minereelor
GAME_STATISTICS_TITLE	Statistici Joc
GAME_STATISTICS_STONES_DMG	Cel mai mare damage dat \n într-o piatrã (hit)
GAME_STATISTICS_STONES_KILL	Numãrul total de \n pietre distruse
GAME_STATISTICS_LEADERS_DMG	Cel mai mare damage dat \n într-un lider (hit)
GAME_STATISTICS_LEADERS_KILL	Numãrul total de \n lideri uciºi
GAME_STATISTICS_FISHES_CAUGHT	Numãrul total de \n peºti capturaþi
GAME_STATISTICS_REFINE_ITEMS	Numãrul total de \n rafinãri importante
GAME_STATISTICS_COMPLETED_DUNGEONS	Numãrul total de \n temniþe finalizate
GAME_STATISTICS_PLAYER_DMG_SKILL	Cel mai mare damage dat \n într-un jucãtor (abilitate)
GAME_STATISTICS_PLAYER_DMG_HIT	Cel mai mare damage dat \n într-un jucãtor (hit)
GAME_STATISTICS_PLAYER_KILL	Numãrul total de \n jucatori uciºi
GAME_STATISTICS_PLAYER_DUELS	Numãrul total de \n dueluri câºtigate
GAME_STATISTICS_PLAYER_KILLED	Numãrul total de \n ucideri suferite
GAME_STATISTICS_PVM_TEXT	Jucãtori vs Monºtri
GAME_STATISTICS_PVP_TEXT	Jucãtori vs Jucãtori
GAME_STATISTICS_RANKING_NAME	Nume
GAME_STATISTICS_RANKING_LEVEL	Nivel
GAME_STATISTICS_RANKING_VALUE	Valoare
GAME_STATISTICS_RANKING_BTN_0	Cele mai puternice lovituri date în pietre
GAME_STATISTICS_RANKING_BTN_1	Numãrul total de pietre distruse
GAME_STATISTICS_RANKING_BTN_2	Cele mai puternice lovituri date în lideri
GAME_STATISTICS_RANKING_BTN_3	Numãrul total de lideri uciºi
GAME_STATISTICS_RANKING_BTN_4	Numãrul total de peºti capturaþi
GAME_STATISTICS_RANKING_BTN_5	Numãrul total de rafinãri importante
GAME_STATISTICS_RANKING_BTN_6	Numãrul total de temniþe finalizate
GAME_STATISTICS_RANKING_BTN_7	Cel mai mare damage dat într-un jucãtor (abilitate)
GAME_STATISTICS_RANKING_BTN_8	Cel mai mare damage dat într-un jucãtor (hit)
GAME_STATISTICS_RANKING_BTN_9	Numãrul total de jucãtori ucisi
GAME_STATISTICS_RANKING_BTN_10	Numãrul total de dueluri câºtigate
GAME_STATISTICS_RANKING_BTN_11	Numãrul total de ucideri suferite
GAME_STATISTICS_RANKING_BTN_12	Numãrul total de ucideri într-un rãzboi
GAME_STATISTICS_WEEKLY_RANKING	Statistici Sãptãmânale
GAME_STATISTICS_TOTAL_RANKING	Statistici Generale
GAME_STATISTICS_PERSONAL_STATISTICS	Statistici Personale
SUPPORTWND_TITLE	Support Shaman
SUPPORTWND_CNAME	Nume:
SUPPORTWND_LEVEL	Nivel:
SUPPORTWND_CBEC	Abilitãþi:
SUPPORTWND_BECINT	Inteligenþã:
SUPPORTWND_BONUS	Rezistenþã:
SUPPORTWND_CTECRUBE	EXP:
FIRST_BUY_ITEM	Doreºti sã cumperi %s x%s pentru %s |?
SECOND_BUY_ITEM	Doreºti sã cumperi %s x%s pentru %s| ºi %s |?
EXTEND_INVENTORY_TOOLTIP_01	Aici vei gãsi cãrþile ºi obiectele necesare,
EXTEND_INVENTORY_TOOLTIP_02	pentru a-þi evolua abilitãþile.
EXTEND_INVENTORY_TOOLTIP_03	Aici vei gãsi obiectele de upgrade,
EXTEND_INVENTORY_TOOLTIP_04	dar ºi alte obiecte generale.
EXTEND_INVENTORY_TOOLTIP_05	Aici vei gãsi pietrele,
EXTEND_INVENTORY_TOOLTIP_06	pe care le adaugi pe armã/armurã.
EXTEND_INVENTORY_TOOLTIP_07	Aici vei gãsi cuferele.
DUNGEON_INFO_1	Informaþii temniþã
DUNGEON_INFO_2	Timp de aºteptare: 
DUNGEON_INFO_3	Limitã de nivel: 
FREEDOM_FLAG_DECO	Steagul libertãþii
X1001_NIGHTS_DECO	1001 nopþi
KING_BBQ_DECO	Regele BBQ
TREASURE_HUNTER_DECO	Vânãtorul comorilor
ECONOMIC_FLAME_DECO	Flacãrã economicã
ARMS_DEALER_DECO	Vânzãtor de arme
ARMOR_DEALER_DECO	Vânzãtor de armuri
ALCHEMY_DEALER_DECO	Vânzãtor de alchimie
ASK_DROP_ITEM	Ce doreºti sã faci cu acest obiect?
ASK_DROP_TEXT	Aruncã
WHISPER_BOT_WARNING	[!] Alege o întrebare din lista din dreapta.
OFFLINE_SHOP_BUTTON_LOCK	Blocheazã
OFFLINE_SHOP_BUTTON_UNLOCK	Deblocheazã
OFFLINE_SHOP_BUTTON_RENEW	Reînnoire
OFFLINE_SHOP_BUTTON_RENAME	Redenumeºte
OFFLINE_SHOP_BUTTON_CLOSE	Închide
OFFLINE_SHOP_INPUT_SIGN_TITLE	Change Shop Sign
OFFLINE_SHOP_INPUT_SIGN_DESC	Nume Magazin: %s
OFFLINE_SHOP_RENEW_CONFIRM	Reînnoirea magazinului va costa 1.000.000 Yang
OFFLINE_SHOP_TIME_LEFT	%d Zile %02d Ore %02d Minute
SEARCH_SHOP_TITLE	Cautã în magazine
SEARCH_SHOP_BUY_CONFIGM	Doreºti sã cumperi acest obiect?
SEARCH_SHOP_BOOKMARK_EMPTY	Liber
SEARCH_SHOP_BOOKMARK_FULL	Nu existã spaþii goale pentru a marca o cãutare.
SHOW_NAME_COLOR	Afiºeazã numele jucãtorilor ºi culoarea regatului
SHOW_NAME	Afiºeazã mereu numele jucãtorilor
GRAPHIC_MODE	Animaþie ferestre
GRAPHIC_SETTINGS	Setãri Grafice
GAME_SETTINGS	Setãri Joc
DISPLAY_SETTINGS	Opþiuni Joc
GAME_OPTIONS_TITLE	Opþiuni
GAME_OPTIONS_TEXTURE	Texturã
GAME_OPTIONS_CAMERA_DISTANCE	Distanþã camerã
GAME_OPTIONS_TIME_DAY_NIGHT	Timp
GAME_OPTIONS_SHADOW	Umbre
GAME_OPTIONS_ENVIRONMENT	Ambienþã
GAME_OPTIONS_INTERFACE	Interfaþã
GAME_OPTIONS_FOG	Ceaþã
GAME_OPTIONS_NAME_VISIBILITY	Vizibilitate nume
GAME_OPTIONS_MONSTER_LEVEL	Nivel monºtri
GAME_OPTIONS_MONSTER_AGGRESSIVENESS	Agresivitate monºtri
GAME_OPTIONS_ATTACK_INFORMATION	Informaþii atac
GAME_OPTIONS_FONT	 Font în joc
GAME_OPTIONS_HIDE_ELEMENTS	Ascunde Elemente
GAME_OPTIONS_HIDE_MOUNTS	Mount-uri
GAME_OPTIONS_HIDE_PETS	Pet-uri
GAME_OPTIONS_HIDE_SHOPS	Shop-uri
GAME_OPTIONS_SHOPS_NAME_RANGE	Razã nume shop-uri
GAME_OPTIONS_BLOCK	Blocheazã
GAME_OPTIONS_ACCOUNT_SETTINGS	Setãri cont
GAME_OPTIONS_PICKUP_SETTINGS	Setãri Ridicã Item
GAME_OPTIONS_PICKUP_MODE	Mod ridicã 
GAME_OPTIONS_PICKUP_IGNORE	Ignorã 
GAME_OPTIONS_PICKUP_NORMAL	Normal
GAME_OPTIONS_PICKUP_FAST	Rapid
GAME_OPTIONS_PICKUP_WEAPONS	Arme
GAME_OPTIONS_PICKUP_ARMORS	Armuri
GAME_OPTIONS_PICKUP_HELMET	Coifuri
GAME_OPTIONS_PICKUP_SHIELD	Scuturi
GAME_OPTIONS_PICKUP_WRISTLET	Brãþãri
GAME_OPTIONS_PICKUP_FOOTS	Papuci
GAME_OPTIONS_PICKUP_NECKLACE	Coliere
GAME_OPTIONS_PICKUP_EAR	Cercei
GAME_OPTIONS_PICKUP_ORE	Minereu
GAME_OPTIONS_PICKUP_WINE	Vinuri
GAME_OPTIONS_PICKUP_OTHER	Altele
GAME_OPTIONS_EFFECTS_NAME	Efecte
GAME_OPTIONS_OPTIMIZATION	Optimizare
GAME_OPTIONS_OPTIMIZATION_DISABLED	Disabled
GAME_OPTIONS_OPTIMIZATION_PVP_MEDIUM	PvP - Performanta medie
GAME_OPTIONS_OPTIMIZATION_PVP_HIGH	PvP - Performanta maxima
GAME_OPTIONS_OPTIMIZATION_PVM	PvM
