VNUM	LOCALE_NAME
2034	Pãianjen ghearã toxicã
2035	Pãianjen soldat toxic
2036	Pãianjen soldat mândru
2051	Pui pãianjen toxic rãu
2052	Pãianjen otrãvitor rãu
2053	Pãianjen roºu toxic rãu
2054	Pãianjen ghearã toxic rãu
2055	Pãianjen soldat toxic rãu
2061	Pãianjen otrãvitor mic
2062	Pãianjen toxic mortal
2063	Pãianjen toxic roºu
2064	Pãianjen ghearã otrãvit
2065	Pãianjen soldat otrãvit
2071	Pãianjen pui mortal
2072	Pãi. otr. mort. brutal
2073	Pãi. otr. roºu brutal
2074	Pãi. otr. cu ghearã brut
2075	Pãianjen soldat mortal
2076	Pãianjen otrãvitor dur
2091	Regina pãianjen
2092	Baroneasã pãianjen
2093	Vãduva neagrã
2094	Regele pãianjen
2095	Ou de pãianjen
2101	Vulpe de deºert
2102	Ochi zburãtor deºert
2103	Scorpion regal
2104	Om scorpion mic
2105	Arcaº scorpion
2106	ªarpe spadasin
2107	Arcaº ºarpe
2108	Tâlhar de deºert
2109	Regina nagga
2110	Luptãtoare nagga
2111	Soldat nagga
2112	Vrãjitoare nagga
2113	Vrãjitoare nagga
2131	Om scorpion
2132	Arcaº scorpion
2133	Luptãtor sabie ºarpe
2134	Arcaº ºarpe
2135	Tâlhar de deºert
2151	Vulpe sãlbaticã de deºert
2152	Cãlugãr puternic
2153	Scorpion regal dur
2154	Om scorpion dur
2155	Scorpion arcaº dur
2156	ªarpe spadasin Dur
2157	Sarpe arcaº dur
2158	Beduin puternic
2191	Þestoasa gigant
2192	Þestoasã de deºert neagrã
2201	Tigru luptãtor dur
2202	Spiritul focului
2203	Tigru luptãtor
2204	Flacãra
2205	Luptãtor de foc
2206	Regele focului
2207	Regele negru al focului
2231	Tigru luptãtor puternic
2232	Spirit flacãrã durã
2233	Tigru rãzboinic dur
2234	Fantomã rãzboinicã durã
2235	Razboinic foc dur
2291	Dragon roºu
2301	Copac fantomã
2302	Buturugã fantomã
2303	Driada
2304	Salcia fantomã
2305	Copac rãu
2306	Copac fantomã uriaº
2307	Copac fantomã nobil
2311	Copacul roºu fantomã
2312	Buturugã fantomã roºie
2313	Driada roºie
2314	Salcia fantomã roºie
2315	Copac rãu roºu
2401	Setaou luptãtor
2402	Vânãtor setaou
2403	Setaou mistic
2404	Conducãtor setaou
2411	Soldat setaou
2412	Arcaº setaou
2413	Judecãtor setaou
2414	Comandant setaou
2415	Comandant setaou
2431	????
2432	????
2433	ÃµÀÇ¹ý»ç
2434	????
2451	?????
2452	?????
2453	?????
2454	?????
2491	Cãpitanul yonghan
2492	Generalul yonghan
2493	Beran-Setaou
2494	Cãpitanul huashin
2495	Generalul huashin
2501	Meduzele iadului
2502	Câinele iadului
2503	Zombie
2504	Ofiþerul iadului
2505	Gardianul iadului
2506	Arcaºul iadului 2 capete
2507	Gheare diabolive
2508	Luptãtorul iadului
2509	Arcaºul iadului
2510	Suliþaºul iadului
2511	Pãrintele iadului
2512	Maiorul iadului
2513	Mãcelarul iadului
2514	Generalul iadului
2541	Luptãtor satanic
2542	Arcaº satanic
2543	Suliþaº satanic
2544	Pãrinte satanic
2545	Maior satanic
2546	Mãcelar satanic
2547	General satanic
2591	Tartaros
2592	Ucigaºul iadului
2593	Ucigaºul iadului
2594	Ucigaºul iadului
2595	Erebos
2596	Creatura lui Azrael
2597	Charon
2598	Azrael
3001	Gnoll rãzboinic
3002	Gnoll arcaº
3003	Gnoll apãrãtor
3004	Gnoll magician
3005	Gnoll general
3090	Gnoll lord
3091	Gnoll suprem
3101	Cãpcãun cu un ochi
3102	Ciclop soldat
3103	Ciclop nagician
3104	Ciclop cãlãu
3105	Generalul outis
3190	Arges
3191	Polyphemos
3201	Manticore rãzboinic
3202	Manticore soldat
3203	Manticore mag
3204	Manticore cãlãu
3205	Generalul cor
3290	Rakshasa
3291	Martyaxwar
3301	Lemures rãzboinic
3302	Lemures soldat
3303	Lemures magician
3304	Lemures cãlãu
3305	Lemures general
3390	Lemures prinþ
3391	Lemures bodyguard
3401	Tritonic suliþã
3402	Rechin soldat
3403	Tritonic magician
3404	Tritonic vânãtor
3405	Tritonic mãcelar
3490	Kappa
3491	Triton
3501	Tâlhar roºu amazon
3502	Tâlhar roºu asasin
3503	Tâlhar roºu magician
3504	Tâlhar roºu cãlãu
3505	General negru
3551	Tâlhar brutal amazon
3552	Tâlhar brutal asasin
3553	Tâlhar brutal magician
3554	Tâlhar brutal cãlãu
3555	General alb
3590	Craniu
3591	Conducãtor roºu
3595	Craniu brutal
3596	Tâlhar roºu brutal
3601	Crab rãzboinic
3602	Scorpion arcaº
3603	Crevete soldat
3604	Pustnic diabolic
3605	Crab blindat
3690	Homar general
3691	Regele crab
3701	Gigant escroc
3702	Gigant mãcelar
3703	Gigant mag
3704	Colos
3705	Cãpitanul cârlig
3790	Gargoyle
3791	Wubba
3801	Hangork
3802	Ork arcaº
3803	Orc gãlãgios
3804	Orc mag
3805	Generalul ogg
3890	Cãpitanul shruk
3891	Marele orc
3901	Copac monstru
3902	Eoten
3903	Skouman
3904	Cãpitanul cârlig
3905	Mu-Shu
3906	Yah-Ki
3907	Moghu
3908	Carnifex
3909	General albus
3910	Skeletos
3911	Aku-Boku
3912	Arboretum
3913	Sycomore
5001	Pirat tanaka
5002	Hae-Tae
5003	Maimuþã
5004	Pirat tanaka
5101	Gibon soldat
5102	Gibon grenadier
5103	Gibon luptãtor
5104	Gibon general
5111	Maimuþã soldat
5112	Maimuþã grenadier
5113	Maimuþã luptãtor
5114	Maimuþã general
5115	Maimuþã de piatrã
5116	Maimuþã conducãtor
5121	Gorilã soldat
5122	Gorilã grenadier
5123	Gorilã luptãtor
5124	Gorilã general
5125	Gorilã de piatrã
5126	Gorilã de aur
5127	Gorilã conducator
5131	Soldat maim. intel. mic
5132	Arunc. maim. intel. mic
5133	Lupt. maim. intel. mic
5134	Gen. maim. inteligent mi
5141	Urangutan soldat
5142	Aruncãtor maim. viclean
5143	Luptãtor maim. viclean
5144	Gen. maim. viclean
5145	Maim. de piatrã vicleanã
5146	Conducãtor maim. viclean
5151	Gorilã soldat maleficã
5152	Gorilã grenadier malefic
5153	Luptãtor maim. rãu
5154	Gorilã general malefica
5155	Gorilã de piatrã malefic
5156	Gorilã de aur maleficã
5157	Conducãtor maim. rãu
5161	Maimuþã de piatrã
5162	Maimuþã umblãtoare
5163	Maimuþã lord
5201	Câine sãlbatic
5202	Mistreþ sãlbatic
5203	Mistreþ roºu sãlbatic
5204	Urs
5205	Urs brun
5206	Urs negru
5207	Urs brun flãmând
5208	Tigru
5209	Tigru alb
6001	Spiritul focului
6002	Tigru de foc
6003	Flacãrã
6004	Luptãtor de foc
6005	Regele focului
6006	Golem de foc
6007	Barba de foc
6008	General de foc
6009	Capetenie de foc
6051	Ignitor
6091	Razador
6101	Cristal de gheaþã
6102	Insecta de gheaþã
6103	Om de gheaþã
6104	Yeti de gheaþã
6105	Golem de gheaþã
6106	Troll de gheaþã
6107	Barba de gheaþã
6108	General de gheaþã
6109	Lord de gheaþã
6110	Yeti de magmã
6111	Golem de magmã
6112	Insectã de magmã
6113	Golem de lavã
6114	Cristal de magmã
6115	Wyvern de magmã
6116	Gardã Dragon Idall
6117	Minion Idall
6118	Statuie Dragon
6119	Yeti de foc
6120	Troll de foc
6121	General de foc
6151	Szel
6191	Nemere
6192	Jotun Thrym
6193	Meley Regina Dragon
7001	Maimuþa soldat
7002	Maimuþa jocheu
7003	Maimuþa soldat gimu
7004	Maimuþa comandant
7005	Maimuþa de piatrã
7006	Maimuþa de aur
7007	Maimuþa general
7008	Muncitor Tu-Gui
7009	Controlor soldaþi Tu-Gui
7010	Comandor alb Tu-Gui
7012	Bi-Ma-Gui-An
7013	Scorpion regal
7014	Om scorpion laº
7015	Arcaº scorpion
7016	Luptãtor sabie ºarpe
7017	Arcaº ºarpe
7018	Tâlhar de deºert
7019	Soldat Tu-ji
7020	Hwa-ryung
7021	Pierde-varã Tu-Ji
7022	Cham-Ma
7023	Teawha-Mu
7024	Juk-gui
7025	Dung-Juk
7026	Juk-Mok
7027	Hwaryu Juk
7028	Juk-Guimok negru
7029	Diavol de gheaþã
7030	Balenã corn de gheaþã
7031	Insectã de gheaþã
7032	Seol-Gu
7033	Omul gheþii
7034	Gigant de gheaþã
7035	Golem de gheaþã
7036	Diavol de gheaþã
7037	Balenã corn de gheaþã
7038	Insectã de gheaþã
7039	Seol-Gu
7040	Omul gheþii
7041	Gigant de gheaþã
7042	Golem de gheaþã
7043	Diavol de gheaþã
7044	Balenã corn de gheaþã
7045	Insectã de gheaþã
7046	Seol-Gu
7047	Omul gheþii
7048	Gigant de gheaþã
7049	Golem de gheaþã
7050	Ochi zburãtor deºert
7051	Scorpion regal
7052	Om scorpion mic
7053	Arcaº scorpion
7054	ªarpe spadasin
7055	Arcaº ºarpe
7056	Tâlhar de deºert
7057	Ochi zburator deºert
7058	Scorpion regal
7059	Om scorpion mic
7060	Arcaº scorpion
7061	ªarpe spadasin
7062	Arcaº ºarpe
7063	Tâlhar de deºert
7064	Ochi zburator deºert
7065	Scorpion regal
7066	Om scorpion mic
7067	Arcaº scorpion
7068	ªarpe spadasin
7069	Arcaº ºarpe
7070	Tâlhar de deºert
7071	Tigru luptãtor dur
7072	Spiritul focului
7073	Tigru luptãtor
7074	Flacãrã
7075	Luptãtor de foc
7076	Tigru luptãtor dur
7077	Spiritul focului
7078	Tigru luptãtor
7079	Flacãrã
7080	Luptãtor de foc
7081	Tigru luptãtor dur
7082	Spiritul focului
7083	Tigru luptãtor
7084	Flacãrã
7085	Luptãtor de foc
7086	Buturuga fantomã
7087	Driadã
7088	Salcia fantomã
7089	Copac rãu
7090	Buturuga fantomã
7091	Driadã
7092	Salcia fantomã
7093	Copac rãu
7094	Buturuga fantomã
7095	Driadã
7096	Salcia fantomã
7101	Tun
7102	Tun
7103	Balistã sãgeþi
7104	Balistã sãgeþi
7105	Turn
7106	Vatrã
7107	Vatrã
7108	Vatrã
7109	Vatrã
7110	Vatrã
7111	Vatrã
7112	Vatrã
7113	Cheeta
7114	Kraton
7115	Charly
7116	Nini
7117	Zulu
7118	Maimuþa Rãzboinic Deka
7119	Maimuþa Rãzboinic Oba
7120	Regele Keung
7121	Kiros
7122	Manchu
7123	Sgok
7124	Indrik
8001	Metinul necazului
8002	Metinul luptei
8003	Metinul bãtãliei
8004	Metinul lãcomiei
8005	Metinul amarului
8006	Metinul întunericului
8007	Metinul geloziei
8008	Metinul sufletului
8009	Metinul umbrei
8010	Metinul puterii
8011	Metinul diavolului
8012	Metinul dizgraþiei
8013	Metinul morþii
8014	Metinul crimelor
8015	Metinul puterii
8016	Metinul diavolului
8017	Metinul dizgraþiei
8018	Metinul morþii
8019	Metinul crimelor
8020	Stâncã Shinsoo
8021	Stâncã Jinno
8022	Stâncã Chunjo
8023	Stâncã imperialã
8024	Metin Pung-Ma
8025	Metin Ma-An
8026	Metin Tu-Young
8027	Metin Jeon-Un
8031	Metinul muntelui
8032	Metinul rãzbunãrii
8033	Metinul singurãtãþii
8034	Metinul aroganþei
8035	Metinul eliberãrii
8036	Metinul trãdãrii
8037	Metinul resentimentului
8038	Metinul rãsplatei
8039	Metinul mândriei
8040	Metinul invidiei
8041	Metin de Paste
8042	Metin de Paºte
8043	Metin de Paºte
8044	Metin de Paºte
8045	Metin de Paºte
8046	Metin de Paºte
8047	Metin de Paºte
8048	Metin de Paºte
8049	Metin de Paºte
8050	Metin de Paºte
8051	Metinul tristeþii
8052	Metinul cãrbunilor
8053	Metinul vanitãþii
8054	Metinul furiei
8055	Metinul nenorocirilor
8056	Metinul rãutãþii
8057	Metin focul iadului
8058	Metin de gheaþã
8059	Metinul copacului om
8060	Metin dovleac
8061	Metinul pãdurilor
8077	Metinul maimuþelor
8078	Metinul orcilor
8079	Metinul diavolilor
8080	Metinul dragonilor
8101	Metinul necazului
8102	Metinul luptei
8103	Metinul bãtãliei
8104	Metinul lãcomiei
8105	Metinul amarului
8106	Metinul întunericului
8107	Metinul geloziei
8108	Metinul sufletului
8109	Metinul umbrei
8110	Metinul puterii
8111	Metinul diavolului
8112	Metinul dizgraþiei
8113	Metinul morþii
8114	Metinul crimelor
8115	Metinul lunii
8200	Ciocolatã Piatrã Metin
8201	Ciocolatã Piatrã Metin
8501	Câine sãlbatic
8502	Mistreþ
8503	Urs
8504	Tigru alb
8505	Orc negru gigant
8506	General brotac
8507	Tâlhar de deºert
8508	Despot esoteric
8509	Incântãtor esoteric
8510	Luptãtor de foc
8511	Golem de gheaþã
8616	Billy Loomis
8617	Jack Torrance
8618	Chucky
8619	Jigsaw
8620	Jason
8621	Michael Myers
8622	Freddy Krueger
8623	Leatherface
9001	Negustor de arme
9002	Negustor de armuri
9003	Negustor general
9004	Ajutor pt. evenimente
9005	Administrator depozit
9006	Femeia bãtrânã
9007	Negustor de arme
9008	Negustor de armuri
9009	Pescar
9010	Magazin de diverse
9011	Organizatoare de nunþi
9012	Teleporter
10001	Þinutul_Yayang 4002 8995
10002	Þinutul_Yongan 4503 9050
10003	Þinut_Bokjung 1118 2161
10004	Þinutul_Joan 876 2131
10005	Þinutul_Bakra 9064 2214
10006	Zona_Pyungmoo 9372 2188
10007	Þinutul_Yongan 4188 9560
10008	Þinutul_Yayang 3179 8332
10009	Þinutul_Joan 897 1127
10010	ÞinutulBokjung 1759 2210
10011	Zona_Pyungmoo 9343 3143
10012	Þinutul_Bakra 8348 2926
10013	Templul_Hwang 5536 1441
10014	Seungryong 3326 7468
10015	DeºertulYongbi 3467 6329
10016	Kuahlo_Dong 600 4960
10017	Templul_Hwang 5906 1102
10018	Turnul_Gumsan 2165 7270
10019	Þinutul_Yayang 3211 9009
10020	Jungrang 1356 43
10021	ÞinutulBokjung 1168 2920
10022	Waryong 2219 93
10023	Þinutul_Bakra 9098 2948
10024	Imha 2718 130
10025	Muntele_Sohan 4993 2984
10026	Lungsam 2887 57
10027	Lungsam 2866 437
10028	Pãdurea_roºie 11199 708
10029	Vale_cu_Serpi 10590 7262
10030	DeºertulYongbi 3519 6223
10031	Vale_cu_Serpi 10590 7262
10032	Taram_Giganti 8283 7635
10033	Peºtera_Zin 10594 7525
10034	2_peºterã_Zin 10594 7525
10035	Deon-Zeon 917 5253
10036	2_Deon-Zeon 7041 4642
10037	??? 3809 8233
10038	??? 9752 1330
10039	??? 1917 2900
10040	??? 9239 1836
10041	??? 8316 2154
10042	??? 9772 1850
10043	??? 3819 2969
10044	??? 10189 1484
10045	??? 3819 2969
10046	??? 9774 1501
10047	??? 2699 6752
10048	??? 9679 1994
10049	??? 2699 6752
10050	??? 9256 2012
10051	???? 3478 6189
10052	??? 9780 1995
10053	???? 3478 6189
10054	??? 10190 2002
10055	???? 6011 6874
10056	??? 4368 2158
10057	??? 3355 7558
10058	???? 5943 1337
10059	???1 0 10496
10060	????1 1536 10496
10061	????1 4608 10496
10062	???1 6144 10496
10063	??? 3031 266
10064	???? 11133 534
10065	???? 7754 10553
10066	????? 9915 11195
10067	TemnitaMaimute 7752 4477
10068	Þinutul_Yayang 4062 8756
10069	TemnitaMaimute 8520 4477
10070	ÞinutulBokjung 1611 2130
10071	TemnitaMaimute 9288 4477
10072	Þinutul_Bakra 8727 2100
10073	DeºertulYongbi 3061 6202
10074	TemnitaMaimute 1352 6532
10075	DeºertulYongbi 2879 5407
10076	TemnitaMaimute 1352 7300
10077	????1? 9 12078
10078	??? 2842 8106
10079	Grotto1 1459 13236
10080	????2? 2413 12755
10081	????1? 99 13618
10082	???? 5028 9998
10083	????1? 1360 14972
10084	????2? 2414 14289
10085	????1? 99 15154
10086	???? 616 1148
10087	????1? 1360 16508
10088	????2? 2414 15825
10089	????1? 99 16690
10090	???? 9609 3188
10091	????1? 1360 18044
10092	????2? 2414 17361
10093	Poartã_Dragon 1731 12205
10094	Poartã_Dragon 1733 13743
10095	Poartã_Dragon 1728 15277
10096	Poartã_Dragon 1724 16824
10097	TP2 7040 5235
10098	TP3 984 5711
10099	Peninsula 11043 17885
10100	Peninsula 10963 16744
10101	Nephrite 10869 16558
10102	Peninsula 11664 16779
10103	Thunder 11345 16546
10104	Thunder 11921 16550
10105	Gautama 12263 16811
10501	. 345 361
10502	. 106 547
10503	. 75 368
10504	. 89 746
10505	. 520 352
10506	. 541 45
10507	. 211 109
10508	. 615 49
10509	. 284 705
10510	. 145 310
10511	. 553 285
10512	. 487 274
10513	. 626 291
10514	. 285 569
10515	. 80 303
10516	. 315 238
10517	. 416 272
10518	. 72 498
10519	. 215 495
10520	. 523 415
10521	. 72 498
10522	. 518 480
10523	. 583 379
10524	. 459 558
10601	. 345 361
10602	. 520 352
10603	. 487 274
10604	. 75 368
10605	. 211 109
10606	. 215 495
10607	. 315 238
10608	. 520 352
10609	. 284 705
10610	. 145 310
10611	. 416 272
10612	. 80 303
10613	. 72 498
10614	. 106 547
10615	. 523 415
10616	. 541 45
10617	. 72 121
10618	. 518 480
10619	. 89 746
10620	. 285 569
10621	. 615 49
10622	. 72 498
10623	. 583 379
10624	. 459 558
10625	. 609 553
10626	. 594 338
10701	. 75 368
10702	. 541 45
10703	. 615 49
10704	. 284 705
10705	. 520 352
10706	. 553 285
10707	. 145 310
10708	. 345 361
10709	. 523 415
10710	. 72 498
10711	. 626 291
10712	. 487 274
10713	. 72 498
10714	. 106 547
10715	. 518 480
10716	. 285 569
10717	. 80 303
10718	. 211 109
10719	. 416 272
10720	. 215 495
10721	. 315 238
10722	. 89 746
10723	. 583 379
10724	. 459 558
10725	. 609 553
10726	. 594 338
10801	. 70 581
10802	. 69 664
10803	. 132 660
10804	. 184 566
10805	. 285 567
10806	. 272 636
10807	. 191 667
10808	. 345 563
10809	. 400 570
10810	. 68 806
10811	. 140 811
10812	. 189 722
10813	. 274 722
10814	.233 780
10815	. 318 780
10816	. 273 833
10817	.356 717
10818	.412 712
10819	. 372 776
10820	. 354 840
10821	. 366 817
10822	. 420 841
10823	. 94 846
10824	. 63 864
10825	. 131 866
10826	. 59 920
10827	. 91 940
10828	. 135 919
10829	. 194 870
10830	. 243 862
10831	. 312 861
10832	. 373 893
10833	. 406 880
10834	. 422 935
10835	. 500 807
11000	Gardian
11001	Administratorul luptelor
11002	Gardian
11003	Administratorul luptelor
11004	Gardian
11005	Administratorul luptelor
11100	Gardian
11101	Administratorul luptelor
11102	Gardian
11103	Administratorul luptelor
11104	Gardian
11105	Administratorul luptelor
11106	???
11107	???
11108	???
11109	???
11110	???
11111	???
11112	???
11113	???
11114	???
11115	???
11116	???
11117	???
11505	Broascã aurie
11506	??
11507	??
11508	??
11509	??
11510	??
12000	Foc de tabãrã
13000	Poartã de lemn
13001	Poartã de piatrã
14000	Atelier
14001	Atelier
14002	Atelier
14003	Atelier
14004	Atelier
14005	Atelier
14006	Atelier
14007	Atelier
14008	Atelier
14009	Atelier
14010	Altar
14011	Altar
14012	Altar
14013	Altar
14014	Altar
14015	Altar
14016	Altar
14017	Altar
14018	Altar
14019	Altar
14020	Bazã
14021	Bazã
14022	Bazã
14023	Bazã
14024	Bazã
14025	Bazã
14026	Bazã
14027	Bazã
14028	Bazã
14029	Bazã
14030	Bazã de antrenament
14031	Bazã de antrenament
14032	Bazã de antrenament
14033	Bazã de antrenament
14034	Bazã de antrenament
14035	Bazã de antrenament
14036	Bazã de antrenament
14037	Bazã de antrenament
14038	Bazã de antrenament
14039	Bazã de antrenament
14040	Cuptor
14041	Cuptor
14042	Cuptor
14043	Cuptor
14044	Cuptor
14045	Cuptor
14046	Cuptor
14047	Cuptor
14048	Cuptor
14049	Cuptor
20001	Alchimist
20002	Aranyo
20003	Ah-Yu
20004	Cerºetor
20005	Yonah
20006	Mirine
20007	Administrator depozit
20008	Octavio
20009	Batran
20010	Vrãjitorul poþiunilor
20011	Uriel
20012	Yu-Rang
20013	Pescar
20014	Taurean
20015	Deokbae
20016	Fierar
20017	Yu-Hwan
20018	Baek-Go
20019	Yang-Shin
20020	Trãdãtorul Balso
20021	Ariyoung
20022	Huahn-So
20023	Soon
20024	Harang
20025	.
20026	Ji-Ryu
20027	Gillian
20028	Fratele lui Mirine
20029	Ponei
20030	Cal
20031	Moº Crãciun
20032	Brad de Crãciun
20033	Brad de Crãciun
20034	Brad de Crãciun
20035	Steag
20036	Steag
20037	Steag
20038	..
20039	.
20040	Vânzãtor de terenuri
20041	Cetãþean turmentat
20042	Negustor ambulant
20043	.
20044	Fierar Arme, Stanley
20045	Fierar de armuri
20046	Bijutier
20047	Zãcãmânt de diamante
20048	Zãcãmânt de chihlimbar
20049	Zãcãmânt de fosile
20050	Zãcãmânt de cupru
20051	Zãcãmânt de argint
20052	Zãcãmânt de aur
20053	Zãcãmânt de jade
20054	Zãcãmânt de lemn abanos
20055	Teanc de scoici
20056	Zãcãmânt de aur alb
20057	Zãcãmânt de cristal
20058	Zãcãmânt de cuarþ
